feature,coefficient,abs_coefficient
num__x,0.5999761041826724,0.5999761041826724
num__y,0.08469854968644297,0.08469854968644297
num__depth,0.0832995814510192,0.0832995814510192
num__carat,0.011837475984565322,0.011837475984565322
cat__clarity_I1,-0.011261707713064112,0.011261707713064112
cat__cut_Very Good,0.00956353623783169,0.00956353623783169
cat__cut_Premium,-0.008800839330650248,0.008800839330650248
cat__clarity_VS1,0.00635448214561331,0.00635448214561331
cat__clarity_IF,0.00476758647733454,0.00476758647733454
cat__color_E,0.004382333590044846,0.004382333590044846
num__price,-0.003736619094566835,0.003736619094566835
cat__clarity_SI2,-0.0031606259252904513,0.0031606259252904513
cat__clarity_VVS1,0.002816930108912472,0.002816930108912472
num__table,-0.002186317190701645,0.002186317190701645
cat__color_I,-0.001873712514674141,0.001873712514674141
cat__color_H,-0.001845618526077298,0.001845618526077298
cat__clarity_VVS2,0.0017335134099223633,0.0017335134099223633
cat__color_G,-0.0017319919495249558,0.0017319919495249558
cat__cut_Fair,0.001700766798752109,0.001700766798752109
cat__cut_Good,-0.0013367822902157474,0.0013367822902157474
cat__clarity_SI1,-0.0013309630073356624,0.0013309630073356624
cat__cut_Ideal,-0.0011266814170518148,0.0011266814170518148
cat__color_D,0.0008265703407523937,0.0008265703407523937
cat__color_J,0.00023286127387772319,0.00023286127387772319
num__Unnamed: 0,-0.0001897339311914821,0.0001897339311914821
cat__clarity_VS2,8.078449566042947e-05,8.078449566042947e-05
cat__color_F,9.55779068125636e-06,9.55779068125636e-06
